Territorialidades;IDHM 2010
Brasil;0,727
Abaiara (CE);0,628
Acarape (CE);0,606
Acaraú (CE);0,601
Acopiara (CE);0,595
Aiuaba (CE);0,569
Alcântaras (CE);0,6
Altaneira (CE);0,602
Alto Santo (CE);0,601
Amontada (CE);0,606
Antonina do Norte (CE);0,599
Apuiarés (CE);0,618
Aquiraz (CE);0,641
Aracati (CE);0,655
Aracoiaba (CE);0,615
Ararendá (CE);0,59
Araripe (CE);0,564
Aratuba (CE);0,622
Arneiroz (CE);0,618
Assaré (CE);0,6
Aurora (CE);0,605
Baixio (CE);0,627
Banabuiú (CE);0,606
Barbalha (CE);0,683
Barreira (CE);0,616
Barro (CE);0,599
Barroquinha (CE);0,571
Baturité (CE);0,619
Beberibe (CE);0,638
Bela Cruz (CE);0,623
Boa Viagem (CE);0,598
Brejo Santo (CE);0,647
Camocim (CE);0,62
Campos Sales (CE);0,63
Canindé (CE);0,612
Capistrano (CE);0,611
Caridade (CE);0,592
Cariré (CE);0,596
Caririaçu (CE);0,578
Cariús (CE);0,597
Carnaubal (CE);0,593
Cascavel (CE);0,646
Catarina (CE);0,618
Catunda (CE);0,609
Caucaia (CE);0,682
Cedro (CE);0,627
Chaval (CE);0,586
Choró (CE);0,585
Chorozinho (CE);0,604
Coreaú (CE);0,61
Crateús (CE);0,644
Crato (CE);0,713
Croatá (CE);0,59
Cruz (CE);0,632
Deputado Irapuan Pinheiro (CE);0,609
Ererê (CE);0,61
Eusébio (CE);0,701
Farias Brito (CE);0,633
Forquilha (CE);0,644
Fortaleza (CE);0,754
Fortim (CE);0,624
Frecheirinha (CE);0,604
General Sampaio (CE);0,568
Graça (CE);0,57
Granja (CE);0,559
Granjeiro (CE);0,585
Groaíras (CE);0,633
Guaiúba (CE);0,617
Guaraciaba do Norte (CE);0,609
Guaramiranga (CE);0,637
Hidrolândia (CE);0,597
Horizonte (CE);0,658
Ibaretama (CE);0,577
Ibiapina (CE);0,608
Ibicuitinga (CE);0,606
Icapuí (CE);0,616
Icó (CE);0,606
Iguatu (CE);0,677
Independência (CE);0,632
Ipaporanga (CE);0,579
Ipaumirim (CE);0,606
Ipu (CE);0,618
Ipueiras (CE);0,573
Iracema (CE);0,652
Irauçuba (CE);0,605
Itaiçaba (CE);0,656
Itaitinga (CE);0,626
Itapagé (CE);0,623
Itapipoca (CE);0,64
Itapiúna (CE);0,604
Itarema (CE);0,606
Itatira (CE);0,562
Jaguaretama (CE);0,612
Jaguaribara (CE);0,618
Jaguaribe (CE);0,621
Jaguaruana (CE);0,624
Jardim (CE);0,614
Jati (CE);0,651
Jijoca de Jericoacoara (CE);0,652
Juazeiro do Norte (CE);0,694
Jucás (CE);0,598
Lavras da Mangabeira (CE);0,613
Limoeiro do Norte (CE);0,682
Madalena (CE);0,61
Maracanaú (CE);0,686
Maranguape (CE);0,659
Marco (CE);0,612
Martinópole (CE);0,599
Massapê (CE);0,616
Mauriti (CE);0,605
Meruoca (CE);0,618
Milagres (CE);0,628
Milhã (CE);0,626
Miraíma (CE);0,592
Missão Velha (CE);0,622
Mombaça (CE);0,582
Monsenhor Tabosa (CE);0,61
Morada Nova (CE);0,61
Moraújo (CE);0,581
Morrinhos (CE);0,588
Mucambo (CE);0,607
Mulungu (CE);0,607
Nova Olinda (CE);0,625
Nova Russas (CE);0,614
Novo Oriente (CE);0,605
Ocara (CE);0,594
Orós (CE);0,636
Pacajus (CE);0,659
Pacatuba (CE);0,675
Pacoti (CE);0,635
Pacujá (CE);0,621
Palhano (CE);0,638
Palmácia (CE);0,622
Paracuru (CE);0,637
Paraipaba (CE);0,634
Parambu (CE);0,57
Paramoti (CE);0,583
Pedra Branca (CE);0,603
Penaforte (CE);0,646
Pentecoste (CE);0,629
Pereiro (CE);0,601
Pindoretama (CE);0,636
Piquet Carneiro (CE);0,6
Pires Ferreira (CE);0,591
Poranga (CE);0,581
Porteiras (CE);0,622
Potengi (CE);0,562
Potiretama (CE);0,604
Quiterianópolis (CE);0,594
Quixadá (CE);0,659
Quixelô (CE);0,591
Quixeramobim (CE);0,642
Quixeré (CE);0,622
Redenção (CE);0,626
Reriutaba (CE);0,601
Russas (CE);0,674
Saboeiro (CE);0,575
Salitre (CE);0,54
Santana do Acaraú (CE);0,587
Santana do Cariri (CE);0,612
Santa Quitéria (CE);0,616
São Benedito (CE);0,611
São Gonçalo do Amarante (CE);0,665
São João do Jaguaribe (CE);0,654
São Luís do Curu (CE);0,62
Senador Pompeu (CE);0,619
Senador Sá (CE);0,603
Sobral (CE);0,714
Solonópole (CE);0,625
Tabuleiro do Norte (CE);0,645
Tamboril (CE);0,58
Tarrafas (CE);0,576
Tauá (CE);0,633
Tejuçuoca (CE);0,584
Tianguá (CE);0,657
Trairi (CE);0,606
Tururu (CE);0,606
Ubajara (CE);0,648
Umari (CE);0,591
Umirim (CE);0,587
Uruburetama (CE);0,639
Uruoca (CE);0,566
Varjota (CE);0,611
Várzea Alegre (CE);0,629
Viçosa do Ceará (CE);0,571
 ; 
Elaboração: Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP, 2022.;
Fontes: dados do IBGE e de registros administrativos, conforme especificados nos metadados disponíveis disponíveis em: http://atlasbrasil.org.br/acervo/biblioteca.;
