nome_partido,numero_partido
REPUBLICANOS,10
PROGRESSISTAS,11
Partido Democrático Trabalhista,12
ROBERTO CLÁUDIO RODRIGUES BEZERRA,12
ELMANO DE FREITAS DA COSTA,13
Partido dos Trabalhadores,13
Partido Trabalhista Brasileiro,14
Movimento Democrático Brasileiro,15
JOSÉ BATISTA NETO,16
Partido Socialista dos Trabalhadores Unificado,16
Rede Sustentabilidade,18
Podemos,19
Partido Social Cristão,20
Partido Comunista Brasileiro,21
FRANCISCO RAIMUNDO MALTA DE ARAÚJO,21
Partido Liberal,22
Cidadania,23
Partido da Causa Operária,29
Partido Novo,30
Partido da Mobilização Nacional,33
Partido da Mulher Brasileira,35
AGIR,36
Partido Socialista Brasileiro,40
Partido Verde,43
WAGNER SOUSA GOMES,44
UNIÃO BRASIL,44
Partido da Social Democracia Brasileira,45
Partido Socialismo e Liberdade,50
Patriota,51
Partido Social Democrático,55
Partido Comunista do Brasil,65
AVANTE,70
SERLEY DE SOUSA LEAL,80
Unidade Popular,80
Partido Republicano da Ordem Social,90
VOTO BRANCO,95
VOTO NULO,96
